Semester;Alter;Geschlecht;Studiengang;Schulabschluss;Bundesland;Entfernung;Fahrtdauer;HaeufSmartphone;HaeufMobInternet;HaeufNotebook;HaeufDesktopPC;HaeufStatInternet;HaeufTabletPC;HaeufEBookReader;HaeufWhatsApp;HaeufFacebook;HaeufInstagram;HaeufTwitter;HaeufXing;HaeufLinkedIn;HaeufAndere;QuelleLV;QuelleMoodle;QuelleBuecher;QuelleAufsaetze;QuelleGespraeche;QuelleWikipedia;QuelleLehrvideos;QuelleVortraege;QuelleAndere;BewertVortraege;BewertFolien;BewertGruppenarb;BewertBegleitmat;BewertBibliothek;BewertLernwelt;OVS_Sal1;OVS_Reac1;OVS_Mon1;OVS_Sal2;OVS_Reac2;OVS_Mon2;OVS_Sal3;OVS_Reac3;OVS_Mon3;OVS_Sal4;OVS_Reac4;OVS_Mon4;N_Manip1;N_Angeb1;N_Einzig1;N_Angeb2;N_Einzig2;N_Ueberh1;N_Manip2;N_Anspr1;N_Ueberh2;N_Einzig3;N_Anspr2;N_Anspr3;N_Aut1;N_Aut2;N_Aut3;N_Anspr4;N_Ueberh3;IKU1;IKU2;EKU1;EKU2
SoSe20;23;2;2;3;Baden-Wuerttemberg;11;55;3;2;4;1;5;1;1;4;1;1;1;1;1;2;5;4;3;3;3;2;2;2;2;2;2;2;2;2;2;4;4;3;3;4;3;2;2;2;2;2;2;3;2;2;3;3;4;4;3;4;4;3;2;3;3;4;3;4;4;4;3;2
SoSe20;22;2;4;1;Nordrhein-Westfalen;45;85;5;5;5;1;-99;5;1;4;2;1;1;1;1;1;3;5;4;2;4;1;4;2;3;4;3;3;2;2;4;5;3;2;5;3;2;1;3;1;3;1;1;4;2;3;2;2;3;4;3;2;4;3;4;4;3;3;3;4;4;4;2;5
SoSe20;20;2;1;1;Baden-Wuerttemberg;7;30;4;3;5;1;5;4;1;4;2;2;1;1;1;1;5;5;3;2;4;3;2;1;1;2;2;3;1;3;3;2;4;3;3;5;4;1;4;3;3;4;2;3;2;3;2;4;3;3;3;3;4;3;4;3;2;4;4;3;4;5;2;3
SoSe20;26;2;1;3;Baden-Wuerttemberg;55;90;5;4;5;1;5;2;1;5;1;1;1;1;1;1;5;5;1;1;2;1;3;1;1;1;1;2;2;3;4;4;3;1;2;3;1;1;2;1;3;2;1;1;1;2;2;2;1;2;3;5;4;3;2;2;2;1;3;2;4;4;2;2
SoSe20;22;2;1;2;Bayern;8;30;5;5;5;2;5;2;1;5;3;2;1;1;3;4;5;5;3;2;4;3;5;4;4;1;1;3;2;-99;-99;4;4;4;3;3;4;1;2;4;5;2;1;1;2;4;2;3;3;2;1;2;5;3;4;2;1;3;2;3;4;5;2;2
SoSe20;-99;2;2;3;Baden-Wuerttemberg;1;5;3;3;5;5;-99;1;1;4;1;1;1;1;1;1;5;5;2;3;3;2;3;1;1;2;2;2;1;2;3;4;3;3;3;4;4;2;2;2;3;3;2;2;3;2;2;3;1;2;1;4;5;2;1;3;3;4;4;3;4;4;2;3
SoSe20;41;1;2;1;Baden-Wuerttemberg;7;25;1;1;5;1;5;2;4;3;1;1;1;1;1;1;5;3;5;5;3;2;3;3;2;2;3;2;3;2;3;3;2;2;2;4;2;1;2;1;1;1;2;2;2;3;3;3;2;3;3;3;2;1;4;2;2;3;5;3;4;4;2;3
SoSe20;20;2;2;1;Baden-Wuerttemberg;67;120;3;3;5;1;5;5;1;4;1;1;1;1;1;2;5;5;1;2;5;2;2;1;2;2;1;1;1;1;3;3;4;4;3;4;2;1;1;1;1;1;1;4;3;2;3;3;2;3;4;1;4;3;3;3;4;5;3;5;5;5;2;3
SoSe20;19;2;1;1;Baden-Wuerttemberg;47;70;4;5;5;1;5;2;1;5;1;1;1;1;1;3;5;5;1;2;3;2;3;1;1;2;1;2;2;2;3;2;4;3;3;5;4;3;4;4;3;4;3;2;2;4;2;3;2;4;2;3;4;2;4;2;2;3;3;1;3;4;3;5
SoSe20;19;2;1;3;Hessen;20;45;5;4;5;1;5;1;1;5;1;3;1;1;1;1;5;5;2;2;4;3;3;3;1;2;1;3;3;2;2;2;2;2;3;4;4;2;1;4;3;2;3;2;2;1;1;2;2;3;1;1;1;1;1;1;1;2;1;2;4;5;2;3
SoSe20;21;2;2;3;Baden-Wuerttemberg;64;90;4;1;4;5;4;1;1;5;1;4;1;1;1;1;5;5;3;2;4;1;4;1;3;2;2;3;1;2;3;4;3;3;3;4;4;2;4;3;3;3;3;2;2;1;1;2;2;1;2;1;3;1;3;1;1;2;2;1;3;4;2;3
SoSe20;20;2;2;1;Baden-Wuerttemberg;20;35;3;3;5;1;5;1;1;4;1;3;1;1;1;1;5;5;3;3;3;2;3;2;2;2;1;1;2;2;2;2;4;2;2;3;2;1;2;3;3;2;2;2;2;2;2;3;2;3;1;1;2;2;2;3;2;3;1;4;4;4;2;3
SoSe20;22;1;3;1;Baden-Wuerttemberg;3;15;2;2;5;4;5;3;1;5;1;2;1;1;1;1;5;5;3;1;4;2;5;2;1;3;2;1;2;2;2;3;4;5;2;5;5;1;1;2;4;2;3;4;3;2;2;4;3;4;3;5;4;4;3;5;5;4;3;5;4;5;1;2
SoSe20;20;1;2;1;Baden-Wuerttemberg;50;40;3;2;2;5;5;1;1;4;1;2;1;1;1;4;3;4;2;2;2;2;3;3;3;2;2;3;2;2;3;4;3;2;2;2;1;1;2;1;3;2;1;3;2;3;4;1;1;3;1;2;4;1;1;4;-99;1;5;1;5;4;3;2
SoSe20;21;2;3;1;Baden-Wuerttemberg;10;25;4;4;5;1;5;1;1;5;1;4;1;1;1;1;5;5;3;4;5;1;4;3;1;2;2;1;2;2;2;4;4;2;3;3;3;1;3;1;1;2;1;2;1;1;1;2;2;1;1;3;2;2;4;4;4;4;3;3;5;5;3;2
SoSe20;25;2;1;3;Baden-Wuerttemberg;17;30;4;2;5;1;4;5;1;5;1;1;1;1;2;1;5;4;2;1;3;1;2;2;1;2;2;3;2;2;2;4;4;2;2;3;2;1;3;2;2;3;2;2;1;1;1;1;1;2;2;3;2;2;1;3;3;3;4;3;4;4;2;3
SoSe20;24;2;2;3;Bayern;150;10;3;1;5;1;1;4;1;5;1;1;1;1;1;1;5;4;4;3;4;1;2;1;2;2;1;2;1;3;3;3;2;4;4;3;3;1;1;2;3;3;4;1;3;1;2;2;2;3;2;2;3;2;2;4;4;3;3;5;4;4;2;3
SoSe20;19;1;1;1;Baden-Wuerttemberg;64;90;3;5;5;5;4;5;1;5;1;2;1;1;2;1;5;5;1;2;3;1;1;1;1;1;1;2;1;2;2;3;5;2;1;5;1;1;1;2;1;3;1;1;1;1;2;2;1;2;1;1;1;1;1;1;1;1;4;2;4;4;2;2
SoSe20;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99
SoSe20;29;2;1;1;Baden-Wuerttemberg;50;55;4;3;1;5;5;1;1;5;1;1;1;1;2;1;5;5;3;1;3;1;4;4;1;1;1;2;2;3;3;3;4;2;3;4;3;2;3;4;3;4;3;4;2;4;2;3;4;4;4;4;4;2;4;3;3;4;5;3;4;5;2;2
SoSe20;19;1;4;1;Baden-Wuerttemberg;18;35;4;1;5;2;5;1;1;4;1;1;1;1;1;3;4;4;4;2;2;1;2;2;3;3;4;4;2;2;3;3;2;2;3;3;4;1;2;4;2;1;4;2;3;1;3;2;4;2;2;2;1;1;3;2;2;3;5;3;3;4;3;1
SoSe20;26;2;1;3;Baden-Wuerttemberg;60;120;5;5;5;5;4;1;1;4;2;2;1;1;1;1;5;5;3;2;4;1;1;1;1;2;2;3;1;4;2;5;5;3;5;5;5;4;4;5;4;4;3;2;1;3;1;1;2;3;4;1;4;1;1;1;1;3;2;1;3;3;4;5
SoSe20;23;2;3;2;Baden-Wuerttemberg;20;20;5;5;5;1;5;1;3;5;2;2;1;1;1;1;4;5;4;5;5;3;5;2;4;1;2;2;2;1;1;3;2;3;3;4;3;5;4;5;5;5;5;3;2;4;3;2;3;4;1;2;2;3;4;3;3;3;4;4;4;5;2;5
SoSe20;19;1;4;1;Baden-Wuerttemberg;45;76;4;3;1;5;5;1;1;5;2;2;1;1;3;3;3;4;5;4;3;2;5;1;2;3;2;1;1;1;2;4;3;4;3;4;3;3;3;4;4;3;3;2;2;4;1;2;4;3;3;3;4;1;4;3;1;4;1;4;5;5;3;4
SoSe20;20;2;2;3;Baden-Wuerttemberg;20;60;3;2;5;1;5;1;1;3;1;1;1;1;1;1;5;5;2;2;4;1;3;1;2;2;3;3;2;2;-99;3;4;3;3;4;3;2;3;2;3;2;2;1;3;1;1;1;1;4;1;1;3;1;1;1;1;2;1;1;4;3;2;3
SoSe20;22;2;1;3;Baden-Wuerttemberg;13;30;5;3;5;1;5;5;1;5;3;1;1;1;1;2;5;5;5;1;4;3;4;1;2;2;3;2;2;2;3;2;3;1;1;3;1;1;1;1;2;1;1;1;1;1;1;1;1;2;1;1;1;1;3;1;1;1;1;2;5;5;1;2
SoSe20;20;2;4;3;Baden-Wuerttemberg;3;17;2;2;5;1;5;1;1;4;1;1;1;1;1;2;5;5;2;2;1;3;3;2;1;2;2;4;2;2;3;4;3;4;3;4;4;2;3;2;3;3;3;3;3;4;3;2;2;2;2;3;4;2;2;2;2;3;4;1;2;4;3;4
SoSe20;23;2;4;3;Baden-Wuerttemberg;15;20;3;2;5;1;4;5;1;4;1;1;1;1;1;1;3;3;4;3;4;2;4;4;2;2;3;2;2;2;3;2;2;2;3;2;2;2;2;2;2;2;2;3;3;1;2;3;4;4;4;4;4;4;4;4;4;5;3;4;4;4;2;3
SoSe20;21;1;4;1;Baden-Wuerttemberg;40;70;2;2;1;5;5;3;-99;2;1;1;1;1;3;2;5;5;3;2;1;2;4;4;3;2;2;2;1;2;-99;2;2;1;1;2;1;1;2;1;2;1;1;3;2;1;3;1;3;2;2;4;3;2;4;3;4;3;4;2;3;5;1;1
SoSe20;23;2;1;1;Baden-Wuerttemberg;8;20;5;5;5;1;5;4;1;5;1;5;3;1;2;5;5;5;2;2;3;5;5;2;3;2;2;2;2;3;3;3;2;1;3;2;2;2;2;2;3;1;2;1;1;1;3;2;2;2;1;2;2;1;2;2;3;2;2;2;2;3;2;2
SoSe20;21;2;1;1;Baden-Wuerttemberg;3;20;3;3;5;1;5;1;1;5;1;1;1;1;1;5;5;5;1;2;3;1;3;1;1;2;2;1;2;3;-99;2;3;3;2;2;3;2;1;1;4;1;2;3;1;1;2;1;1;2;1;2;2;1;2;2;2;3;3;3;4;5;1;3
SoSe20;20;2;1;1;Rheinland-Pfalz;3;15;5;2;5;1;5;4;1;4;1;2;1;1;3;-99;4;4;2;2;2;3;4;1;-99;2;3;4;2;5;-99;4;4;4;4;4;4;2;3;3;4;4;3;2;1;2;2;2;1;2;3;-99;-99;-99;4;3;3;-99;-99;1;-99;3;3;5
SoSe20;25;2;1;3;Baden-Wuerttemberg;15;70;3;4;5;1;5;2;1;4;1;1;1;1;1;1;5;5;1;4;2;-99;1;1;1;2;2;5;5;-99;5;3;5;3;4;5;5;4;4;1;4;3;2;2;1;1;1;1;1;2;1;1;1;1;1;2;2;1;3;2;4;3;3;4
SoSe20;20;1;4;1;Baden-Wuerttemberg;30;40;4;2;5;1;5;5;1;4;1;1;1;1;1;3;5;5;2;2;4;3;3;3;2;2;2;3;3;3;2;4;4;4;3;5;5;2;3;4;4;4;4;3;3;4;3;3;3;4;4;4;3;4;4;4;4;4;4;3;2;5;2;2
SoSe20;28;1;4;3;Baden-Wuerttemberg;10;30;3;3;5;5;5;5;2;4;1;1;1;1;1;1;4;5;4;-99;3;2;5;2;4;1;2;3;2;3;3;3;3;3;-99;4;4;3;2;2;2;1;3;3;3;1;2;4;2;2;2;2;2;3;3;3;3;3;1;4;5;5;1;2
SoSe20;28;1;4;1;-99;35;60;5;1;5;1;1;1;1;3;1;1;3;3;2;2;5;4;4;4;2;1;2;4;3;2;2;3;1;3;3;2;3;3;2;4;3;2;1;1;2;2;1;1;2;1;2;2;1;2;2;1;1;1;2;1;1;2;1;3;4;5;2;2
SoSe20;19;1;4;3;Baden-Wuerttemberg;50;80;3;3;5;4;5;5;1;4;2;2;1;1;2;3;3;5;4;3;3;1;3;1;3;2;2;3;1;3;3;4;3;3;3;3;3;1;2;2;3;1;3;3;4;3;5;3;3;2;4;5;5;3;4;3;4;3;5;3;4;5;2;4
SoSe20;20;2;3;1;Baden-Wuerttemberg;15;45;5;5;5;3;3;5;1;5;1;3;1;1;1;5;5;5;3;2;3;1;3;3;3;2;2;1;2;2;2;4;3;5;3;5;5;2;3;3;3;3;5;5;1;5;2;2;5;3;5;5;5;5;5;4;5;5;4;5;5;5;2;3
SoSe20;24;2;3;1;Baden-Wuerttemberg;35;60;4;2;5;1;5;1;1;3;1;1;1;1;1;1;5;4;3;1;1;1;2;1;1;1;2;3;3;3;5;2;1;2;2;1;1;1;1;1;1;1;1;2;5;3;1;1;2;2;1;1;1;1;2;5;1;5;3;2;3;3;3;4
SoSe20;22;2;2;3;Baden-Wuerttemberg;133;95;2;3;5;2;5;1;1;4;1;1;1;1;1;3;4;5;2;2;3;2;3;3;1;2;2;3;1;2;1;3;2;1;1;1;3;1;1;3;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;5;5;1;3
SoSe20;21;2;2;1;Baden-Wuerttemberg;25;30;4;2;2;5;3;1;1;4;1;2;1;1;1;1;5;5;2;2;4;4;4;4;1;2;3;3;4;5;5;2;2;2;2;4;2;1;3;3;3;3;3;1;1;1;1;2;1;1;1;1;2;1;1;1;2;3;1;3;4;4;1;2
SoSe20;25;2;3;1;Baden-Wuerttemberg;10;30;5;5;2;5;5;3;1;5;1;1;1;1;1;4;5;5;3;2;5;1;3;3;-99;3;2;2;2;2;2;3;4;3;2;2;2;1;1;1;2;1;1;3;2;1;1;2;2;2;1;2;1;1;1;3;3;4;2;2;5;5;2;-99
SoSe20;19;2;2;1;Baden-Wuerttemberg;1;6;3;1;5;1;5;1;1;4;2;1;1;1;1;1;5;5;2;5;3;1;3;1;1;2;1;2;1;3;3;3;2;3;1;2;2;1;1;3;3;1;1;4;3;1;2;1;2;4;2;2;3;5;5;3;3;4;3;4;4;5;1;3
SoSe20;19;1;4;3;Baden-Wuerttemberg;30;40;5;5;5;1;5;1;1;5;1;1;1;1;5;1;5;5;3;3;1;1;5;5;4;2;2;2;2;2;2;5;5;5;5;4;4;4;4;4;4;4;4;4;2;4;4;4;5;4;4;5;4;4;4;3;4;4;4;4;4;4;4;4
SoSe20;24;2;4;1;Baden-Wuerttemberg;35;55;3;3;5;1;5;5;1;5;2;3;1;1;1;5;4;4;3;2;4;2;5;3;4;2;2;1;2;2;1;3;3;3;2;3;3;2;1;2;3;3;2;4;2;4;2;2;5;3;4;5;5;4;5;5;4;5;5;5;5;5;3;4
SoSe20;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99
SoSe20;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99
SoSe20;21;1;4;1;Baden-Wuerttemberg;165;75;4;4;5;1;5;2;2;5;1;1;1;1;1;4;3;5;2;1;2;2;3;2;3;2;1;2;2;2;2;5;4;3;5;5;5;1;4;3;3;4;4;5;3;1;2;2;5;4;3;4;5;3;1;2;3;3;1;4;5;5;2;5
SoSe20;21;1;4;1;Baden-Wuerttemberg;50;45;5;5;4;5;5;3;1;5;3;5;1;1;2;3;5;5;3;3;4;4;4;3;3;2;2;2;2;1;2;5;3;3;4;3;4;3;2;4;4;2;4;3;3;5;2;5;4;3;4;4;4;3;4;3;2;5;5;3;4;4;5;4
SoSe20;25;2;3;2;Baden-Wuerttemberg;15;25;4;4;5;1;5;4;1;4;1;2;1;1;1;1;5;5;5;3;3;2;3;2;2;2;3;2;3;2;3;3;4;2;2;4;3;2;3;2;3;2;3;1;2;2;1;3;3;3;4;3;3;4;4;4;3;4;3;4;5;5;2;3
SoSe20;19;2;4;1;Baden-Wuerttemberg;43;40;4;3;5;1;5;1;1;5;1;1;1;1;1;2;5;5;3;3;5;2;3;1;2;2;1;3;1;3;2;4;4;3;3;3;2;2;1;2;3;2;1;1;1;2;2;2;2;1;1;1;2;1;2;2;1;3;3;2;3;5;3;3
SoSe20;22;2;1;3;Bayern;1;2;4;4;5;-99;4;1;1;4;1;1;1;1;4;1;5;5;-99;3;3;2;4;4;3;1;2;2;2;2;2;3;4;2;2;3;2;1;2;2;3;2;1;1;2;1;2;1;1;2;2;3;2;2;4;1;1;1;3;2;3;4;3;2
SoSe20;21;1;4;3;Baden-Wuerttemberg;20;30;5;4;5;2;5;5;1;5;2;4;3;1;1;1;4;4;2;3;3;3;4;2;3;2;1;1;1;3;3;3;3;3;2;4;4;2;2;3;4;2;3;2;1;1;1;1;5;1;3;3;4;3;5;4;3;5;3;4;4;5;2;2
SoSe20;24;1;4;3;Baden-Wuerttemberg;14;50;5;5;4;4;5;1;1;5;1;1;1;1;1;3;3;4;2;2;4;2;5;4;3;2;3;3;2;2;2;4;3;3;4;5;3;2;2;3;2;3;1;2;1;2;2;1;1;3;2;1;3;2;3;2;3;2;3;3;4;3;3;2
SoSe20;19;2;3;1;Baden-Wuerttemberg;40;50;4;4;5;4;5;1;1;5;1;1;1;1;1;4;5;4;4;4;3;2;5;5;-99;2;1;2;2;2;1;3;2;3;2;1;2;1;1;3;2;1;4;2;2;1;1;1;2;2;1;2;2;3;2;3;4;3;2;4;3;4;1;3
SoSe20;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99
SoSe20;20;1;4;2;Baden-Wuerttemberg;21;45;3;2;2;5;5;1;1;5;1;1;2;1;1;4;4;5;3;2;3;1;3;3;2;2;2;4;3;2;2;4;3;4;4;2;3;1;2;3;2;2;3;5;2;4;2;2;3;5;4;4;5;5;5;4;5;3;5;5;4;5;3;4
SoSe20;23;1;3;3;Baden-Wuerttemberg;8;20;3;3;5;1;4;1;1;5;1;1;1;1;1;1;4;5;3;2;4;1;3;3;2;3;2;2;1;2;1;2;2;2;3;4;4;1;2;3;2;1;2;5;3;5;2;2;5;4;3;4;5;3;3;3;3;4;5;4;5;5;1;2
SoSe20;19;1;4;1;Baden-Wuerttemberg;33;50;4;1;5;1;5;1;1;5;1;2;1;1;1;1;5;5;3;1;4;3;3;1;1;1;2;2;3;2;1;3;3;2;2;3;3;1;1;1;2;1;3;3;2;2;2;2;2;4;1;2;1;1;5;4;3;2;2;3;4;4;1;1
SoSe20;20;2;2;1;Baden-Wuerttemberg;100;120;2;1;5;1;5;1;1;3;1;2;1;1;1;2;5;5;3;2;2;2;1;1;1;2;2;3;2;3;3;3;3;2;3;4;2;1;3;2;2;3;1;2;1;2;1;4;1;2;3;3;2;1;4;1;3;2;1;1;4;5;3;3
SoSe20;22;2;3;1;Baden-Wuerttemberg;6;5;3;1;5;1;5;4;1;5;1;3;1;1;1;1;5;4;5;3;2;3;2;2;1;2;2;3;2;2;-99;4;3;3;3;4;3;2;3;3;3;3;4;2;4;1;2;4;2;3;3;3;5;4;4;4;3;4;3;3;5;5;2;3
SoSe20;20;1;4;3;Baden-Wuerttemberg;1;5;4;4;5;1;5;1;1;4;1;1;1;1;1;3;4;4;2;1;4;2;4;1;3;2;2;3;2;1;2;4;5;4;4;4;4;2;2;3;2;3;4;4;2;2;3;4;3;3;3;2;3;2;3;4;3;4;4;3;4;4;2;3
SoSe20;22;1;2;3;Baden-Wuerttemberg;25;110;2;2;1;5;5;1;1;5;1;1;1;1;1;1;4;5;2;3;2;2;1;2;3;1;2;3;1;2;2;4;4;3;3;5;4;1;3;2;4;2;3;1;1;2;1;2;3;2;3;2;4;3;4;2;3;5;4;2;1;4;3;3
SoSe20;20;1;4;1;Baden-Wuerttemberg;40;65;2;3;5;2;2;1;1;3;1;1;1;1;2;3;5;5;4;3;5;1;3;3;3;1;1;2;1;1;1;3;4;4;5;4;4;2;2;5;5;2;3;4;2;1;1;1;1;3;2;1;2;1;1;1;1;1;1;1;1;3;1;5
SoSe20;25;1;4;3;Baden-Wuerttemberg;40;90;4;2;5;5;5;2;1;5;1;1;1;1;1;3;3;5;2;1;2;2;5;3;1;2;4;3;4;2;2;4;3;2;4;4;2;1;2;2;3;2;1;2;1;2;1;1;1;1;1;1;1;1;2;2;2;1;3;2;4;2;2;5
